sales_game_id,title,platform,genre,publisher,developer,release_year,source
98,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
99,Call of Duty: World at War,X360,Shooter,Activision,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
100,Battlefield 3,X360,Shooter,Electronic Arts,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
101,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
102,Call of Duty: Black Ops 3,XOne,Shooter,Activision,,2015.0,kaggle:ulrikthygepedersen/video-games-sales
103,Just Dance,Wii,Misc,Ubisoft,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
104,Battlefield 3,PS3,Shooter,Electronic Arts,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
105,Need for Speed Underground,PS2,Racing,Electronic Arts,,2003.0,kaggle:ulrikthygepedersen/video-games-sales
106,Tekken 3,PS,Fighting,Sony Computer Entertainment,,1998.0,kaggle:ulrikthygepedersen/video-games-sales
107,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,,1998.0,kaggle:ulrikthygepedersen/video-games-sales
108,Super Smash Bros. Melee,GC,Fighting,Nintendo,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
109,Mario Kart 8,WiiU,Racing,Nintendo,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
110,Fallout 4,PS4,Role-Playing,Bethesda Softworks,,2015.0,kaggle:ulrikthygepedersen/video-games-sales
111,Mario Kart: Double Dash!!,GC,Racing,Nintendo,,2003.0,kaggle:ulrikthygepedersen/video-games-sales
112,Just Dance 4,Wii,Misc,Ubisoft,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
113,FIFA 14,PS3,Sports,Electronic Arts,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
114,Need for Speed Underground 2,PS2,Racing,Electronic Arts,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
115,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,,2002.0,kaggle:ulrikthygepedersen/video-games-sales
116,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
117,Crash Bandicoot,PS,Platform,Sony Computer Entertainment,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
