meta_game_id,title,platform,meta_score,user_score,release_date,developer,publisher,genre,source
269,,,,,,,,,kaggle:mohamedhanyyy/video-games
270,,,,,,,,,kaggle:mohamedhanyyy/video-games
271,,,,,,,,,kaggle:mohamedhanyyy/video-games
272,,,,,,,,,kaggle:mohamedhanyyy/video-games
273,,,,,,,,,kaggle:mohamedhanyyy/video-games
274,,,,,,,,,kaggle:mohamedhanyyy/video-games
275,,,,,,,,,kaggle:mohamedhanyyy/video-games
276,,,,,,,,,kaggle:mohamedhanyyy/video-games
277,,,,,,,,,kaggle:mohamedhanyyy/video-games
278,,,,,,,,,kaggle:mohamedhanyyy/video-games
279,,,,,,,,,kaggle:mohamedhanyyy/video-games
280,,,,,,,,,kaggle:mohamedhanyyy/video-games
281,,,,,,,,,kaggle:mohamedhanyyy/video-games
282,,,,,,,,,kaggle:mohamedhanyyy/video-games
283,,,,,,,,,kaggle:mohamedhanyyy/video-games
284,,,,,,,,,kaggle:mohamedhanyyy/video-games
285,,,,,,,,,kaggle:mohamedhanyyy/video-games
286,,,,,,,,,kaggle:mohamedhanyyy/video-games
287,,,,,,,,,kaggle:mohamedhanyyy/video-games
288,,,,,,,,,kaggle:mohamedhanyyy/video-games
289,,,,,,,,,kaggle:mohamedhanyyy/video-games
290,,,,,,,,,kaggle:mohamedhanyyy/video-games
291,,,,,,,,,kaggle:mohamedhanyyy/video-games
292,,,,,,,,,kaggle:mohamedhanyyy/video-games
293,,,,,,,,,kaggle:mohamedhanyyy/video-games
294,,,,,,,,,kaggle:mohamedhanyyy/video-games
295,,,,,,,,,kaggle:mohamedhanyyy/video-games
296,,,,,,,,,kaggle:mohamedhanyyy/video-games
297,,,,,,,,,kaggle:mohamedhanyyy/video-games
298,,,,,,,,,kaggle:mohamedhanyyy/video-games
299,,,,,,,,,kaggle:mohamedhanyyy/video-games
300,,,,,,,,,kaggle:mohamedhanyyy/video-games
301,,,,,,,,,kaggle:mohamedhanyyy/video-games
302,,,,,,,,,kaggle:mohamedhanyyy/video-games
303,,,,,,,,,kaggle:mohamedhanyyy/video-games
304,,,,,,,,,kaggle:mohamedhanyyy/video-games
305,,,,,,,,,kaggle:mohamedhanyyy/video-games
306,,,,,,,,,kaggle:mohamedhanyyy/video-games
307,,,,,,,,,kaggle:mohamedhanyyy/video-games
308,,,,,,,,,kaggle:mohamedhanyyy/video-games
309,,,,,,,,,kaggle:mohamedhanyyy/video-games
310,,,,,,,,,kaggle:mohamedhanyyy/video-games
311,,,,,,,,,kaggle:mohamedhanyyy/video-games
312,,,,,,,,,kaggle:mohamedhanyyy/video-games
